Country Name,Country Code,Series Name,Series Code,YR2015
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.377
Afghanistan,AFG,Urban population,SP.URB.TOTL,8535606
Afghanistan,AFG,"Population, total",SP.POP.TOTL,34413603
Afghanistan,AFG,"Population ages 80 and above, female",SP.POP.80UP.FE,48319
Afghanistan,AFG,"Population ages 80 and above, male",SP.POP.80UP.MA,37233
Afghanistan,AFG,"Population ages 15-64, male",SP.POP.1564.MA.IN,9386355
Afghanistan,AFG,"Population ages 15-64, female",SP.POP.1564.FE.IN,8730445
Afghanistan,AFG,"Population ages 0-14, male",SP.POP.0014.MA.IN,7905639
Afghanistan,AFG,"Population ages 0-14, female",SP.POP.0014.FE.IN,7538168
Afghanistan,AFG,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,206.746
Afghanistan,AFG,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,248.724
Afghanistan,AFG,"Population, female",SP.POP.TOTL.FE.IN,16727437
Afghanistan,AFG,"Population, male",SP.POP.TOTL.MA.IN,17686166
Afghanistan,AFG,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,458824
Afghanistan,AFG,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,394172
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.025
Albania,ALB,Urban population,SP.URB.TOTL,1654503
Albania,ALB,"Population, total",SP.POP.TOTL,2880703
Albania,ALB,"Population ages 80 and above, female",SP.POP.80UP.FE,37747
Albania,ALB,"Population ages 80 and above, male",SP.POP.80UP.MA,29218
Albania,ALB,"Population ages 15-64, male",SP.POP.1564.MA.IN,1006194
Albania,ALB,"Population ages 15-64, female",SP.POP.1564.FE.IN,972981
Albania,ALB,"Population ages 0-14, male",SP.POP.0014.MA.IN,285043
Albania,ALB,"Population ages 0-14, female",SP.POP.0014.FE.IN,252745
Albania,ALB,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,51.195
Albania,ALB,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,99.215
Albania,ALB,"Population, female",SP.POP.TOTL.FE.IN,1414246
Albania,ALB,"Population, male",SP.POP.TOTL.MA.IN,1466457
Albania,ALB,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,188520
Albania,ALB,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,175220
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.09
Algeria,DZA,Urban population,SP.URB.TOTL,28146511
Algeria,DZA,"Population, total",SP.POP.TOTL,39728025
Algeria,DZA,"Population ages 80 and above, female",SP.POP.80UP.FE,238417
Algeria,DZA,"Population ages 80 and above, male",SP.POP.80UP.MA,215324
Algeria,DZA,"Population ages 15-64, male",SP.POP.1564.MA.IN,13115548
Algeria,DZA,"Population ages 15-64, female",SP.POP.1564.FE.IN,12878041
Algeria,DZA,"Population ages 0-14, male",SP.POP.0014.MA.IN,5821646
Algeria,DZA,"Population ages 0-14, female",SP.POP.0014.FE.IN,5583284
Algeria,DZA,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,84.44
Algeria,DZA,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,107.191
Algeria,DZA,"Population, female",SP.POP.TOTL.FE.IN,19664131
Algeria,DZA,"Population, male",SP.POP.TOTL.MA.IN,20063894
Algeria,DZA,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,1202806
