"Continent","Country","Measurement","Value"
"Africa","Algeria","Langs",18
"Africa","Angola","Langs",42
"Oceania","Australia","Langs",234
"Asia","Bangladesh","Langs",37
"Africa","Benin","Langs",52
"Americas","Bolivia","Langs",38
"Africa","Botswana","Langs",27
"Americas","Brazil","Langs",209
"Africa","Burkina Faso","Langs",75
"Africa","CAR","Langs",94
"Asia","Cambodia","Langs",18
"Africa","Cameroon","Langs",275
"Africa","Chad","Langs",126
"Americas","Colombia","Langs",79
"Africa","Congo","Langs",60
"Americas","Costa Rica","Langs",10
"Africa","Cote d'Ivoire","Langs",75
"Americas","Cuba","Langs",1
"Americas","Ecuador","Langs",22
"Africa","Egypt","Langs",11
"Africa","Ethiopia","Langs",112
"Americas","French Guiana","Langs",11
"Africa","Gabon","Langs",40
"Africa","Ghana","Langs",73
"Americas","Guatemala","Langs",52
"Africa","Guinea","Langs",29
"Americas","Guyana","Langs",14
"Americas","Honduras","Langs",9
"Asia","India","Langs",405
"Asia","Indonesia","Langs",701
"Africa","Kenya","Langs",58
"Asia","Laos","Langs",93
"Africa","Liberia","Langs",34
"Africa","Libya","Langs",13
"Africa","Madagascar","Langs",4
"Africa","Malawi","Langs",14
"Asia","Malaysia","Langs",140
"Africa","Mali","Langs",31
"Africa","Mauritania","Langs",8
"Americas","Mexico","Langs",243
"Africa","Mozambique","Langs",36
"Asia","Myanmar","Langs",105
"Africa","Namibia","Langs",21
"Asia","Nepal","Langs",102
"Americas","Nicaragua","Langs",7
"Africa","Niger","Langs",21
"Africa","Nigeria","Langs",427
"Asia","Oman","Langs",8
"Americas","Panama","Langs",13
"Oceania","Papua New Guinea","Langs",862
"Americas","Paraguay","Langs",21
"Americas","Peru","Langs",91
"Asia","Phillipines","Langs",168
"Asia","Saudi Arabia","Langs",8
"Africa","Senegal","Langs",42
"Africa","Sierra Leone","Langs",23
"Oceania","Solomon Islands","Langs",66
"Africa","Somalia","Langs",14
"Africa","South Africa","Langs",32
"Asia","Sri Lanka","Langs",7
"Africa","Sudan","Langs",134
"Americas","Suriname","Langs",17
"Africa","Tanzania","Langs",131
"Asia","Thailand","Langs",82
"Africa","Togo","Langs",43
"Asia","UAE","Langs",9
"Africa","Uganda","Langs",43
"Oceania","Vanuatu","Langs",111
"Americas","Venezuela","Langs",40
"Asia","Vietnam","Langs",88
"Asia","Yemen","Langs",6
"Africa","Zaire","Langs",219
"Africa","Zambia","Langs",38
"Africa","Zimbabwe","Langs",18
"Africa","Algeria","Area",2381741
"Africa","Angola","Area",1246700
"Oceania","Australia","Area",7713364
"Asia","Bangladesh","Area",143998
"Africa","Benin","Area",112622
"Americas","Bolivia","Area",1098581
"Africa","Botswana","Area",581730
"Americas","Brazil","Area",8511965
"Africa","Burkina Faso","Area",274000
"Africa","CAR","Area",622984
"Asia","Cambodia","Area",181035
"Africa","Cameroon","Area",475422
"Africa","Chad","Area",1284000
"Americas","Colombia","Area",1138914
"Africa","Congo","Area",342000
"Americas","Costa Rica","Area",51100
"Africa","Cote d'Ivoire","Area",322463
"Americas","Cuba","Area",110861
"Americas","Ecuador","Area",283561
"Africa","Egypt","Area",1001449
"Africa","Ethiopia","Area",1221900
"Americas","French Guiana","Area",90000
"Africa","Gabon","Area",267667
"Africa","Ghana","Area",238553
"Americas","Guatemala","Area",108889
"Africa","Guinea","Area",245857
"Americas","Guyana","Area",214969
"Americas","Honduras","Area",112088
"Asia","India","Area",3287590
"Asia","Indonesia","Area",1904569
"Africa","Kenya","Area",580367
"Asia","Laos","Area",236800
"Africa","Liberia","Area",111369
"Africa","Libya","Area",1759540
"Africa","Madagascar","Area",587041
"Africa","Malawi","Area",118484
"Asia","Malaysia","Area",329749
"Africa","Mali","Area",1240192
"Africa","Mauritania","Area",1025520
"Americas","Mexico","Area",1958201
"Africa","Mozambique","Area",801590
"Asia","Myanmar","Area",676578
"Africa","Namibia","Area",824292
"Asia","Nepal","Area",140797
"Americas","Nicaragua","Area",130000
"Africa","Niger","Area",1267000
"Africa","Nigeria","Area",923768
"Asia","Oman","Area",212457
"Americas","Panama","Area",75517
"Oceania","Papua New Guinea","Area",462840
"Americas","Paraguay","Area",406752
"Americas","Peru","Area",1285216
"Asia","Phillipines","Area",3e+05
"Asia","Saudi Arabia","Area",2149690
"Africa","Senegal","Area",196722
"Africa","Sierra Leone","Area",71740
"Oceania","Solomon Islands","Area",28896
"Africa","Somalia","Area",637657
"Africa","South Africa","Area",1221037
"Asia","Sri Lanka","Area",65610
"Africa","Sudan","Area",2505813
"Americas","Suriname","Area",163265
"Africa","Tanzania","Area",945087
"Asia","Thailand","Area",513115
